Bundesland;Uni;Name;Funktion;Unternehmen;Alternativname;Quelle
Berlin;SRH Hochschule Berlin (Priv. FH);DR. HANS-JüRGEN AHLBRECHT;;debis Immobilienmanagement;;http://www.srh-hochschule-berlin.de/de/unsere-hochschule/hochschulleitung/hochschulrat/
Berlin;SRH Hochschule Berlin (Priv. FH);BERND EULER;;Siemens;;http://www.srh-hochschule-berlin.de/de/unsere-hochschule/hochschulleitung/hochschulrat/
Berlin;SRH Hochschule Berlin (Priv. FH);DR. ARMGARD VON REDEN;;IBM;;http://www.srh-hochschule-berlin.de/de/unsere-hochschule/hochschulleitung/hochschulrat/
Berlin;SRH Hochschule Berlin (Priv. FH);DR. HERBERT RISCHE;;Deutsche Rentenversicherung Bund;;http://www.srh-hochschule-berlin.de/de/unsere-hochschule/hochschulleitung/hochschulrat/
Berlin;SRH Hochschule Berlin (Priv. FH);GRäFIN ANNETTE VON WEDEL;;Deutsche Bahn;Deutsche Bahn AG;http://www.srh-hochschule-berlin.de/de/unsere-hochschule/hochschulleitung/hochschulrat/
Berlin;Hochschule für Musik Berlin Hanns Eisler;Thomas Greiner;;DUSSMANN AG & Co. KgaA;;http://www.hfm-berlin.de/hochschule/struktur/hochschulrat/
Berlin;Hochschule für Musik Berlin Hanns Eisler;Christian Töpper;;Taxxus Media GmbH;;http://www.hfm-berlin.de/hochschule/struktur/hochschulrat/
Berlin;Beuth-Hochschule für Technik Berlin;Knauer, Alexandra;;Koenig & Bauer AG;;https://www.beuth-hochschule.de/kuratorium/
Berlin;Beuth-Hochschule für Technik Berlin;Kossack, Gabriele, Dipl.-Ing.;;Deloitte & Touche;;https://www.beuth-hochschule.de/kuratorium/
Berlin;Beuth-Hochschule für Technik Berlin;Uppenkamp, Reinhard, Dr.;;Berlin-Chemie AG;;https://www.beuth-hochschule.de/kuratorium/
Bayern;TU München (ohne Klinikum);Susanne Klatten;;BMW;;https://portal.mytum.de/tum/gremien/hochschulrat/index_html
Bayern;TU München (ohne Klinikum);Susanne Klatten;;SGL Carbon GmbH;;https://portal.mytum.de/tum/gremien/hochschulrat/index_html
Bayern;TU München (ohne Klinikum);Susanne Klatten;;Altana AG;;https://portal.mytum.de/tum/gremien/hochschulrat/index_html
Bayern;TU München (ohne Klinikum);Dr. Nicola Leibinger-Kammüller;;Trumpf;;https://portal.mytum.de/tum/gremien/hochschulrat/index_html
Bayern;TU München (ohne Klinikum);Peter Löscher (ehem. Vorstand);;Siemens;;https://portal.mytum.de/tum/gremien/hochschulrat/index_html
Bayern;TU München (ohne Klinikum);Dr.-Ing. Dr.-Ing. E.h. Norbert Reithofer;;BMW;;https://portal.mytum.de/tum/gremien/hochschulrat/index_html
Bayern;Universität Würzburg (ohne Klinikum);Claus Bolza-Schünemann;;Koenig & Bauer AG;;http://www.uni-wuerzburg.de/ueber/universitaet/universitaetsrat/
Bayern;Universität Würzburg (ohne Klinikum);Prof. Dr. Wolfgang Grewe;;Deloitte & Touche;;http://www.uni-wuerzburg.de/ueber/universitaet/universitaetsrat/
Bayern;Universität Würzburg (ohne Klinikum);Ingrid Hunger;;Walter Hunger GmbH & Co.KG;;http://www.uni-wuerzburg.de/ueber/universitaet/universitaetsrat/
Bayern;Universität Würzburg (ohne Klinikum);Dipl.-Kfm. Baldwin Knauf;;Knauf Unternehmensgruppe;;http://www.uni-wuerzburg.de/ueber/universitaet/universitaetsrat/
Bayern;Universität Würzburg (ohne Klinikum);Dipl.-Kfm. Jürgen Otto;;Brose Gruppe;;http://www.uni-wuerzburg.de/ueber/universitaet/universitaetsrat/
Bayern;Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt (FHWS);Rainer Hundsdörfer;;ebm-papst;;http://www.fhws.de/hochschule/organisation/hochschulrat.html
Bayern;Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt (FHWS);Dieter Landgraf;;ESN Deutsche Tischtennistechnologie GmbH;;http://www.fhws.de/hochschule/organisation/hochschulrat.html
Bayern;Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt (FHWS);Angelique Renkhoff-Mücke;;WAREMA Renkhoff;;http://www.fhws.de/hochschule/organisation/hochschulrat.html
Bayern;Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt (FHWS);Widmaier;;Schaeffler Gruppe;;http://www.fhws.de/hochschule/organisation/hochschulrat.html
Bayern;Hochschule Amberg-Weiden;Dipl.-Ing. Manfred Baumann;;Gerresheimer Regensburg GmbH;;https://www.oth-aw.de/hochschule/hochschulleitung/hochschulrat/
Bayern;Hochschule Amberg-Weiden;Dipl.-Kfm. Christian Engel;Vorsitzender;BHS Corrugated GmbH;;https://www.oth-aw.de/hochschule/hochschulleitung/hochschulrat/
Bayern;Hochschule Amberg-Weiden;Dr.-Ing. E.h. Dipl.-Ing. Hans G. Huber;;Huber SE;;https://www.oth-aw.de/hochschule/hochschulleitung/hochschulrat/
Bayern;Hochschule Amberg-Weiden;Prof. Dr.-Ing. Erich Voss;;Siemens;;https://www.oth-aw.de/hochschule/hochschulleitung/hochschulrat/
Bayern;FH Ansbach;Christoph Faßhauer;;OECHSLER AG;;http://www.hs-ansbach.de/hochschule/organisation/hochschulrat.html
Bayern;FH Ansbach;Manfred Geyer;;Raiffeisen Volksbank eG;;http://www.hs-ansbach.de/hochschule/organisation/hochschulrat.html
Bayern;FH Ansbach;Gabriela Gottwald;;Bayerische BauAkademie;;http://www.hs-ansbach.de/hochschule/organisation/hochschulrat.html
Bayern;FH Ansbach;Max Heller;;Möbelwerke Schüller;;http://www.hs-ansbach.de/hochschule/organisation/hochschulrat.html
Bayern;FH Ansbach;Dr. Werner Lang;;MEKRA Lang;;http://www.hs-ansbach.de/hochschule/organisation/hochschulrat.html
Bayern;FH Ansbach;Roland Moritzer;;Ansbacher Versorgungs- und Verkehrsholding GmbH;;http://www.hs-ansbach.de/hochschule/organisation/hochschulrat.html
Bayern;FH Ansbach;Udo Noack;;Bosch;;http://www.hs-ansbach.de/hochschule/organisation/hochschulrat.html
Bayern;FH Ansbach;Johann Reindl;;Electrolux Rothenburg GmbH;;http://www.hs-ansbach.de/hochschule/organisation/hochschulrat.html
Bayern;FH Ansbach;Gisela Schellenberger;;Schellenberger Bürstenfabrik GmbH;;http://www.hs-ansbach.de/hochschule/organisation/hochschulrat.html
Bayern;Hochschule Coburg;Manuel Hartung, M.A., MPA (Harvard);;TEMPUS CORPORATE GmbH;;https://www.hs-coburg.de/ueber-uns/organisation/leitungsgremien/hochschulrat.html
Bayern;Hochschule Coburg;Dipl.-Wirt.-Ing. Klaus Jürgen Heitmann;;HUK Coburg;;https://www.hs-coburg.de/ueber-uns/organisation/leitungsgremien/hochschulrat.html
Bayern;Hochschule Coburg;Dipl.-Ing. (TU) Martin Kapp;;Kapp-Niles Unternehmensgruppe;;https://www.hs-coburg.de/ueber-uns/organisation/leitungsgremien/hochschulrat.html
Bayern;Hochschule für Fernsehen und Film München;Christian Becker;;Rat Pack Filmproduktion;;http://forum.heimat.de/hff-muc/docs/Hochschulrat.pdf
Bayern;Hochschule für Fernsehen und Film München;Jan Mojto;Vorsitzender;EOS GmbH;;http://forum.heimat.de/hff-muc/docs/Hochschulrat.pdf
Bayern;Hochschule für Fernsehen und Film München;Sigrid Narjes;;Agentur ABOVE THE LINE;;http://forum.heimat.de/hff-muc/docs/Hochschulrat.pdf
Bayern;Hochschule für Fernsehen und Film München;Mariette Rissenbeck;;GERMAN FILMS;;http://forum.heimat.de/hff-muc/docs/Hochschulrat.pdf
Bayern;Hochschule für Fernsehen und Film München;Achim Rohnke;;Bavaria Film GmbH;;http://forum.heimat.de/hff-muc/docs/Hochschulrat.pdf
Bayern;Hochschule für Fernsehen und Film München;Brigitte von Welser;;Gasteig München GmbH;;http://forum.heimat.de/hff-muc/docs/Hochschulrat.pdf
Bayern;Hochschule für Fernsehen und Film München;Joseph Vilsmaier;;perathon Medien GmbH;;http://forum.heimat.de/hff-muc/docs/Hochschulrat.pdf
Bayern;Hochschule für Musik und Theater München;Prof. Dr.h.?c. Roland Berger;;Roland Berger Strategy Consultants GmbH;;http://website.musikhochschule-muenchen.de/de/index.php?option=com_content&task=view&id=54&Itemid=94
Bayern;Hochschule für Musik und Theater München;Dr. Wolf-Dieter Seiffert;;G. Henle Verlag;;http://website.musikhochschule-muenchen.de/de/index.php?option=com_content&task=view&id=54&Itemid=94
Bayern;Hochschule für Musik und Theater München;Brigitte von Welser;;Gasteig München GmbH;;http://website.musikhochschule-muenchen.de/de/index.php?option=com_content&task=view&id=54&Itemid=94
Bayern;Hochschule Kempten;Schultz, Wolfgang E.;Vorsitzender;Magnet Schultz GmbH;;http://www.hochschule-kempten.de/hochschule/organisation/hochschulorgane/hochschulrat.html
Bayern;Hochschule Kempten;Brehm, Markus;;Allgäuer Zeitungsverlag GmbH;;http://www.hochschule-kempten.de/hochschule/organisation/hochschulorgane/hochschulrat.html
Bayern;Hochschule Kempten;Fäßler, Anna-Maria, Dr.;;Hotel & Resort Sonnenalp;;http://www.hochschule-kempten.de/hochschule/organisation/hochschulorgane/hochschulrat.html
Bayern;Hochschule Kempten;Froschmayer, Andreas, Dr.;;Dachser GmbH & Co. KG;;http://www.hochschule-kempten.de/hochschule/organisation/hochschulorgane/hochschulrat.html
Bayern;Hochschule Kempten;Hauke , Michael;;Allgäuer Werkstätten GmbH;;http://www.hochschule-kempten.de/hochschule/organisation/hochschulorgane/hochschulrat.html
Bayern;Hochschule Kempten;Hesemann, Friedrich;;Liebherr-Holding;;http://www.hochschule-kempten.de/hochschule/organisation/hochschulorgane/hochschulrat.html
Bayern;Hochschule Kempten;Höhn, Michael, Dr.-Ing.;;Bosch;;http://www.hochschule-kempten.de/hochschule/organisation/hochschulorgane/hochschulrat.html
Bayern;Hochschule Kempten;Traumann, Christian;;Multivac Sepp Haggenmüller GmbH;;http://www.hochschule-kempten.de/hochschule/organisation/hochschulorgane/hochschulrat.html
Bayern;Hochschule Landshut;Dr. Karl Ambrus;;Airbus Group;EADS;https://www.haw-landshut.de/die-hochschule/organ-und-gremien/hochschulrat.html
Bayern;Hochschule Landshut;Barbara Bergmeier;;BMW;;https://www.haw-landshut.de/die-hochschule/organ-und-gremien/hochschulrat.html
Bayern;Hochschule Landshut;Prof. Dr. Jörg M. Elsenbach;;Dräxlmaier Group;;https://www.haw-landshut.de/die-hochschule/organ-und-gremien/hochschulrat.html
Bayern;Hochschule Landshut;Dr. Lothar Enders;;enders Ingenieure GmbH;;https://www.haw-landshut.de/die-hochschule/organ-und-gremien/hochschulrat.html
Bayern;Hochschule Landshut;Dr. Marlies Flieser-Hartl;;LAKUMED Landshut;;https://www.haw-landshut.de/die-hochschule/organ-und-gremien/hochschulrat.html
Bayern;Hochschule Landshut;Brigitte Zeier;;Siemens;;https://www.haw-landshut.de/die-hochschule/organ-und-gremien/hochschulrat.html
Bayern;Hochschule München;Ulrich Bach;;Joh. Winklhofer Beteiligungs GmbH & Co. KG;;http://www.hm.edu/allgemein/hochschule_muenchen/hochschulleitung/hochschulrat/index.de.html
Bayern;Hochschule München;Prof. Elmar F. Baur;;Baur & Company;;http://www.hm.edu/allgemein/hochschule_muenchen/hochschulleitung/hochschulrat/index.de.html
Bayern;Hochschule München;Dr. Thomas Berden;;Hilti;;http://www.hm.edu/allgemein/hochschule_muenchen/hochschulleitung/hochschulrat/index.de.html
Bayern;FH Rosenheim;Walter Schatt;Vorsitzender;Schattdecor AG Thansau;;http://www.fh-rosenheim.de/die-hochschule/organisation/gremien/hochschulrat/
Bayern;FH Rosenheim;Dr. Wolfgang Friedrich;;MBM Maschinenbau Mühldorf GmbH;;http://www.fh-rosenheim.de/die-hochschule/organisation/gremien/hochschulrat/
Bayern;FH Rosenheim;Prof. Dr. Thomas Sesselmann;;Dr. Johannes Heidenhain GmbH;;http://www.fh-rosenheim.de/die-hochschule/organisation/gremien/hochschulrat/
Bayern;FH Rosenheim;Katharina König;;Spinner GmbH;;http://www.fh-rosenheim.de/die-hochschule/organisation/gremien/hochschulrat/
Bayern;Hochschule Weihenstephan-Triesdorf;Claus Haberda;;Roche;;http://www.hswt.de/hochschule/organisation/hochschulrat.html
Bayern;Hochschule Weihenstephan-Triesdorf;Bernhard Hönig;;Dehner GmbH&Co.KG;;http://www.hswt.de/hochschule/organisation/hochschulrat.html
Bayern;Hochschule Weihenstephan-Triesdorf;Dr. Josef Krapf;;BayWa;BayWa AG;http://www.hswt.de/hochschule/organisation/hochschulrat.html
Bayern;FH Regensburg;Hans-Jürgen Thaus;Vorsitzender;Krones AG;;http://www.oth-regensburg.de/hochschule/organisation/gremien-und-organe/hochschulrat.html
Bayern;FH Regensburg;Thomas Hanauer;;Hanauer GmbH Co. KGaA;;http://www.oth-regensburg.de/hochschule/organisation/gremien-und-organe/hochschulrat.html
Bayern;FH Regensburg;Wolfgang Kelch;;KLEBL Baulogistik GmbH;;http://www.oth-regensburg.de/hochschule/organisation/gremien-und-organe/hochschulrat.html
Bayern;FH Regensburg;Helmut Matschi;;Continental;;http://www.oth-regensburg.de/hochschule/organisation/gremien-und-organe/hochschulrat.html
Bayern;FH Regensburg;Michael Rohde;;Maschinenfabrik Reinhausen GmbH;;http://www.oth-regensburg.de/hochschule/organisation/gremien-und-organe/hochschulrat.html
Bayern;Technische Hochschule Deggendorf;Karl Wißpeintner;Vorsitzender;Micro Epsilon;;https://www.th-deg.de/de/hochschule
Bayern;Technische Hochschule Deggendorf;Dr. Andreas Buske;;Zwiesel Kristallglas AG;;https://www.th-deg.de/de/hochschule
Bayern;Technische Hochschule Deggendorf;Dr. Jürgen Dornbach;;Deutsche Bahn;DB RegioNetz Verkehrs GmbH, DB RegioNetz Infrastruktur GmbH;https://www.th-deg.de/de/hochschule
Bayern;Technische Hochschule Deggendorf;Veronika Lindner;;Lindner Group KG;;https://www.th-deg.de/de/hochschule
Bayern;Technische Hochschule Deggendorf;Manfred Zollner;;Zollner Elektronik AG;;https://www.th-deg.de/de/hochschule
Bayern;Hochschule für angewandte Wissenschaft Ingolstadt;Dipl.-Ing. Reinhard Büchl;Vorsitzender;Büchl Entsorgungswirtschaft GmbH;;http://www.thi.de/hochschule/ueber-uns/hochschulgremien.html
Bayern;Hochschule für angewandte Wissenschaft Ingolstadt;Prof. Dr.-Ing. Sebastian Bauer;;Bauer Maschinen GmbH;;http://www.thi.de/hochschule/ueber-uns/hochschulgremien.html
Bayern;Hochschule für angewandte Wissenschaft Ingolstadt;Dipl.-Ing. Frank Dreves;;Audi;;http://www.thi.de/hochschule/ueber-uns/hochschulgremien.html
Bayern;Hochschule für angewandte Wissenschaft Ingolstadt;Dr. Gerlinde Honold;;Airbus Group;Eurocopter Deutschland GmbH;http://www.thi.de/hochschule/ueber-uns/hochschulgremien.html
Bayern;Hochschule für angewandte Wissenschaft Ingolstadt;Walter Huber;;Siemens;;http://www.thi.de/hochschule/ueber-uns/hochschulgremien.html
Bayern;Hochschule für angewandte Wissenschaft Ingolstadt;Stephanie Spinner-König;;Spinner GmbH;;http://www.thi.de/hochschule/ueber-uns/hochschulgremien.html
Bayern;Hochschule für angewandte Wissenschaft Ingolstadt;Leopold Stiefel;;Media-Saturn-Holding GmbH;;http://www.thi.de/hochschule/ueber-uns/hochschulgremien.html
Bayern;Technische Hochschule Nürnberg Georg Simon Ohm;Corinna Diederichs;;cd Personalmanagement;;http://www.th-nuernberg.de/seitenbaum/hochschule/leitung-und-organisation/gremien/hochschulrat/page.html
Bayern;Technische Hochschule Nürnberg Georg Simon Ohm;Josef Hasler;;N-ERGIE AG;;http://www.th-nuernberg.de/seitenbaum/hochschule/leitung-und-organisation/gremien/hochschulrat/page.html
Bayern;Universität Augsburg;Dr. Reinhard Janta;;SGL Carbon GmbH;;https://www.uni-augsburg.de/einrichtungen/universitaetsrat/Mitglieder/
Bayern;Universität Augsburg;Dr. Hartmut Wurster;;UPM-Kymmene Corporation;;https://www.uni-augsburg.de/einrichtungen/universitaetsrat/Mitglieder/
Bayern;Hochschule Augsburg;Michael Grandel;Vorsitzender;Dr. Grandel-Gruppe;;http://www.hs-augsburg.de/hochschule/hochschulorgane/hochschulrat/
Bayern;Hochschule Augsburg;Roland Kreitmeier;;Siemens;;http://www.hs-augsburg.de/hochschule/hochschulorgane/hochschulrat/
Bayern;Hochschule Augsburg;Paul Waning;;Lechwerke AG;;http://www.hs-augsburg.de/hochschule/hochschulorgane/hochschulrat/
Bayern;Hochschule Augsburg;Klaus Weinmann;;CANCOM SE;;http://www.hs-augsburg.de/hochschule/hochschulorgane/hochschulrat/
Bayern;Universität Bamberg;Dr. Jürgen Ederleh;;HIS GmbH;;http://www.uni-bamberg.de/universitaetsrat/
Bayern;Universität Bamberg;Dr. Wolf-Rüdiger Knocke;;Nürnberger Versicherungsgruppe;;http://www.uni-bamberg.de/universitaetsrat/
Bayern;Universität Bayreuth;Dr. Stephan Bieri;Vorsitzender;BIPP GmbH;;http://www.uni-bayreuth.de/universitaet/leitung_und_organe/hochschulrat/index.html
Bayern;Universität Bayreuth;Dr. Hans Jürgen Wernicke;;Südchemie AG;;http://www.uni-bayreuth.de/universitaet/leitung_und_organe/hochschulrat/index.html
Bayern;Universität Erlangen-Nürnberg;Prof. Dr. Hermann Requardt;;Siemens;;http://www.presse.uni-erlangen.de/infocenter/presse/pressemitteilungen/2007/nachrichten_2007/10_07/239hochschulrat.shtml
Bayern;Universität Erlangen-Nürnberg;Dr. Bernd Rödl;;Rödl & Partner;;http://www.presse.uni-erlangen.de/infocenter/presse/pressemitteilungen/2007/nachrichten_2007/10_07/239hochschulrat.shtml
Bayern;Universität Erlangen-Nürnberg;Maria-Elisabeth Schaeffler;;Schaeffler Gruppe;;http://www.presse.uni-erlangen.de/infocenter/presse/pressemitteilungen/2007/nachrichten_2007/10_07/239hochschulrat.shtml
Bayern;Universität Erlangen-Nürnberg;Prof. Dr. Klaus Wucherer;;Festo;;http://www.presse.uni-erlangen.de/infocenter/presse/pressemitteilungen/2007/nachrichten_2007/10_07/239hochschulrat.shtml
Bayern;Universität München (ohne Klinikum);Prof. Dr. h.c. Roland Berger;;Roland Berger Strategy Consultants GmbH;;https://www.uni-muenchen.de/einrichtungen/orga_lmu/gremien/hochschulrat/index.html
Bayern;Universität Passau;Dr. Dierk Ernst;Vorsitzender;Hannover Leasing GmbH;;http://regiowiki.pnp.de/index.php/Hochschulrat_der_Universit%C3%A4t_Passau
Bayern;Universität Passau;Dr. Axel Diekmann;;Neue Presse Verlags-GmbH;;http://regiowiki.pnp.de/index.php/Hochschulrat_der_Universit%C3%A4t_Passau
Bayern;Universität Passau;Dr. Manfred Schwab;;ZF Passau GmbH;;http://regiowiki.pnp.de/index.php/Hochschulrat_der_Universit%C3%A4t_Passau
Bayern;Universität Regensburg (ohne Klinikum);Ernst Baumann;Vorsitzender;Krones AG;;http://www.uni-regensburg.de/universitaet/gremien/hochschulrat/
Bayern;Universität Regensburg (ohne Klinikum);Thierry Tricot;;Schneider Electric Sachsenwerk GmbH;;http://www.uni-regensburg.de/universitaet/gremien/hochschulrat/
Hamburg;TU Hamburg-Harburg;Walter Conrads;Vorsitzender;Philips;;https://www.tuhh.de/tuhh/uni/struktur/hochschulrat.html
Hamburg;TU Hamburg-Harburg;August-Wilhelm Henningsen;;Lufthansa;Lufthansa Technik;https://www.tuhh.de/tuhh/uni/struktur/hochschulrat.html
Hamburg;TU Hamburg-Harburg;Sibylle Stauch-Eckmann;;Endo-Klinik;;https://www.tuhh.de/tuhh/uni/struktur/hochschulrat.html
Hamburg;TU Hamburg-Harburg;Michael Westhagemann;;Siemens;;https://www.tuhh.de/tuhh/uni/struktur/hochschulrat.html
Hamburg;Hochschule für Musik und Theater Hamburg;Hermann Ebel;;HANSA TREUHAND Holding AG;;http://www.hfmt-hamburg.de/hochschule/gremien/hochschulrat/
Hamburg;Hochschule für Bildende Künste Hamburg;Konstantin Kleffel;Vorsitzender;Architekturbüro Kleffel;;http://www.hfbk-hamburg.de/de/hochschule/verwaltung/hochschulrat/
Hamburg;Hochschule für Bildende Künste Hamburg;Nikolaus W. Schües;;Reederei F. Laeisz;;http://www.hfbk-hamburg.de/de/hochschule/verwaltung/hochschulrat/
Hamburg;Hochschule für Bildende Künste Hamburg;Heike Catherina Mertens;;Bayer;Schering Stiftung;http://www.hfbk-hamburg.de/de/hochschule/verwaltung/hochschulrat/
Hamburg;Hafencity Universität Hamburg;Leo Mittelholzer;Vorsitzender;Holcim AG;;https://www.hcu-hamburg.de/universitaet/aufbau-und-organisation-der-hcu/gremien/hochschulrat/
Hamburg;Hafencity Universität Hamburg;Kirsten Wagner;;Nordmetall;Nordmetall-Stiftung;https://www.hcu-hamburg.de/universitaet/aufbau-und-organisation-der-hcu/gremien/hochschulrat/
Hessen;Universität Mannheim;Dr. John Feldmann;Vorsitzender;BASF;BASF SE;http://www.uni-mannheim.de/1/universitaetsrat/mitglieder/
Hessen;Universität Mannheim;Dr. h.c. Eggert Voscherau;;BASF;BASF SE;http://www.uni-mannheim.de/1/universitaetsrat/mitglieder/
Hessen;Technische Hochschule Mittelhessen, FH (THM);Dipl.-Betriebswirtin Sabine Bender-Suhr;Vorsitzender;Bender Group;;http://www.thm.de/site/geschaeftsstelle-gremien/hochschulrat.html
Hessen;Technische Hochschule Mittelhessen, FH (THM);Dipl.-Kfm. Ulrich Schoof;;Linde + Wiemann;;http://www.thm.de/site/geschaeftsstelle-gremien/hochschulrat.html
Hessen;Universität Frankfurt a.M. (ohne Klinikum);Rolf-E. Breuer (bis 2014);;Deutsche Bank;;https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&moduleCall=webInfo&publishConfFile=webInfoEinrichtung&publishSubDir=einrichtung&einrichtung.eid=310300&menuid=&topitem=departments&subitem=#blobs
Hessen;Universität Gießen;Dr. Wolfgang Maaß;;Gießener Anzeiger Verlags GmbH & Co KG;;http://www.uni-giessen.de/cms/org/gremien/hochschulrat
Hessen;Universität Kassel;Dr.-Ing. Günther Cramer;;SMA Solar Technology AG;;https://www.uni-kassel.de/uni/universitaet/ueber-uns/universitaetsleitung/hochschulrat.html
Hessen;Universität Kassel;Prof. Dr. Ing. Werner Neubauer;;Volkswagen;Volkswagen AG;https://www.uni-kassel.de/uni/universitaet/ueber-uns/universitaetsleitung/hochschulrat.html
Hessen;FH Frankfurt a.M.;Uwe Großmann;stellv. Vorsitzender;Siemens;;http://www.frankfurt-university.de/einrichtungen-services/gremien-beauftragte/hochschulrat/mitglieder-des-hochschulrates.html
Hessen;FH Frankfurt a.M.;Barbara David;;Commerzbank;;http://www.frankfurt-university.de/einrichtungen-services/gremien-beauftragte/hochschulrat/mitglieder-des-hochschulrates.html
Hessen;FH Frankfurt a.M.;Dr. jur. Helmut Rothenberger;;Dr. Helmut Rothenberger Holding GmbH;;http://www.frankfurt-university.de/einrichtungen-services/gremien-beauftragte/hochschulrat/mitglieder-des-hochschulrates.html
Hessen;Hochschule Bochum;Christina Philipps;;Philips;;http://www.hochschule-bochum.de/organisation/hochschulrat.html
