uID;Name;Förderer;Wert;Hinweis;Alternativname;Quelle;Quelle 2
950;Universitätsklinikum Schleswig-Holstein;;;;;;
1001;Universität Kiel;;;;;;
1011;Universität Lübeck;;;;;;
3100;Universität Flensburg;;;;;;
2590;Musikhochschule Lübeck;;;;;;
5080;Muthesius Kunsthochschule Kiel;;;;;;
5050;Priv. FH Wedel;Otto Gruppe;;Stipendienprogramm;;http://www.fh-wedel.de/stipendien/grohe-treuhandstiftung/;
5050;Priv. FH Wedel;BIT-SERV;;Stipendienprogramm;;http://www.fh-wedel.de/stipendien/grohe-treuhandstiftung/;
5050;Priv. FH Wedel;innovas;;Stipendienprogramm;;http://www.fh-wedel.de/stipendien/grohe-treuhandstiftung/;
5050;Priv. FH Wedel;Hapag-LLoyd;;Stipendienprogramm;;http://www.fh-wedel.de/stipendien/grohe-treuhandstiftung/;
5050;Priv. FH Wedel;Grohe-Treuhandstiftung;;Stipendienprogramm;;http://www.fh-wedel.de/stipendien/grohe-treuhandstiftung/;
5070;AKAD Hochschule Pinneberg;;;;;;
5280;Nordakademie Hochschule der Wirtschaft;;;;;;
5010;FH Flensburg;;;;;;
5020;FH Kiel;;;;;;
5030;FH Lübeck;;;;;;
5090;FH Westküste, Heide;;;;;;
5060;FH für Verwaltung und Dienstleistung Altenholz;;;;;;
1060;Bucerius Law School Hamburg (Priv. H);Deutsche Bank;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Claussen-Simon-Stiftung;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Clifford Chance;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);DLA Piper;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Freshfields Bruckhaus Deringer LLP;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Gebr. Heinemann SE & Co. KG;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Hengeler Mueller;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Linklaters LLP;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Siemens;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);The Boston Consulting Group GmbH;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Allen & Overy LLP;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Audi;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);CMS Hasche Sigle;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Ernst & Young;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Gleiss Lutz;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Joachim Herz Stiftung;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Hogan Lovells International LLP;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Shearman & Sterling LLP;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Taylor Wessing;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Berenberg;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Bird & Bird;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Dabelstein & Passehl;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Deloitte & Touche;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Lufthansa;;Kooperationspartner;Deutsche Lufthansa AG;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Deutsche Notarrechtliche Vereinigung;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);ECE Projektmanagement GmbH & Co. KG;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Friede Springer-Stiftung;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Friedrich Stiftung;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Funk Gruppe GmbH;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);GöRG;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Graf von Westphalen;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Hamburger Sparkasse AG;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Hamburgische Notarkammer;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Heuking Kühn Lüer Wojtek;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Hunck, Rolf und Sigrid;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Huth Dietrich Hahn;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Jahr, Heike;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Johanna und Fritz Buch Gedächtnisstiftung;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Karl-Schlecht-Stiftung;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Latham & Watkins LLP;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Max Kade Foundation;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Noerr-Gruppe;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Nörenberg Schröder;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Norton Rose Fulbright LLP;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Reimer Rechtsanwälte;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Ruge Krömer Rechtsanwälte;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Schomerus & Partner;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);White & Case LLP ;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Ashurst;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);gürtlerbachmann Werbung GmbH;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Humanistische Stiftung;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Lindenpartners;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Otterbach Group;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Otto M. Schröder Bank AG;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Sparda-Bank Hamburg eG;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);von Saldern Gruppe;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1029;Universität Hamburg (Klinikum);;;;;;
690;Hafencity Universität Hamburg;Holcim AG;2000;Preis;;http://www.hcu-hamburg.de/universitaet/services-und-kontakt/downloads/?no_cache=1&cid=5157&did=6901&sechash=9042abe4;
1021;Universität Hamburg (ohne Klinikum);Max Hoffmann GmbH & Co. KG;;Investitionen;;;
1022;Staats- und Universitätsbibliothek Hamburg;;;;;;
1040;TU Hamburg-Harburg;;;;;;
800;Helmut-Schmidt-Universität Hamburg;;;;;;
2500;Hochschule für Musik und Theater Hamburg;;;;;;
2810;Hochschule für Bildende Künste Hamburg;;;;;;
880;EBC Euro Business College Hamburg (Priv. FH);;;;;;
890;ISS International Business School of Service Management Hamburg (Priv. FH);;;;;;
5220;HFH - Hamburger Fern-Hochschule;;;;;;
5260;Europäische Fernhochschule Hamburg;;;;;;
8070;AMD Akademie Mode und Design;;;;;;
8090;HSBA Hamburg School of Business Admin. (Priv. FH);;;;;;
5210;Hochschule für Angewandte Wissenschaften Hamburg;;;;;;
5230;Evang. Hochschule für Soziale Arbeit und Diakonie, Hamburg (FH);;;;;;
5240;Hochschule der Polizei, Hamburg (Verw-FH);;;;;;
7990;Norddeutsche Akademie für Finanzen und Steuerrecht Hamburg;;;;;;
1039;Universität Göttingen (Klinikum);BP;;Auftragsforschung zu Bürgerprotesten;;http://www.demokratie-goettingen.de/aktuelles/studie-burgerproteste-in-deutschland;https://www.lobbycontrol.de/2013/02/bp-lasst-burgerproteste-untersuchen-was-steckt-dahinter/
1739;Medizinische Hochschule Hannover;;;;;;
520;Universität Oldenburg;;;;;;
530;Universität Osnabrück;;;;;;
960;Universität Vechta;;;;;;
980;Universität Hildesheim;AWD;;Großzügige Spenden von Carsten Maschmeyer;;http://www.fr-online.de/politik/in--unwuerdig-und-unanstaendig-,1472596,8324674.html;http://www.uni-hildesheim.de/ueber-uns/organisation/presidium/presse/pressespiegel-regional/artikel/artikel/ehrendoktorw-3/
990;Leuphana Universität Lüneburg;;;;;;
1031;Universität Göttingen (ohne Klinikum);;;;;;
1430;TU Braunschweig;;;;;;
1440;TU Clausthal;;;;;;
1450;Universität Hannover;;;;;;
1740;Tierärztliche Hochschule Hannover;;;;;;
2530;Hochschule für Musik, Theater und Medien Hannover;;;;;;
2830;Hochschule für Bildende Künste Braunschweig;;;;;;
1780;Hochschule Weserbergland (HSW), Hameln (Priv. FH);;;;;;
5390;Priv. FH der Wirtschaft Hannover;;;;;;
5400;Priv. FH Göttingen;;;;;;
5410;Priv. FH für Wirtschaft und Technik Vechta/Diepholz/Oldenburg;;;;;;
5430;Hochschule für Künste im Sozialen Ottersberg;;;;;;
8140;Hochschule21, Buxtehude (Priv. FH);;;;;;
4980;Hochschule Wilhelmshaven/Oldenburg/Elsfleth (FH);;;;;;
4990;Hochschule Emden/Leer (FH);;;;;;
5310;Hochschule Ostfalia (Braunschweig/Wolfenbüttel) (FH);;;;;;
5330;Hochschule Hannover (FH);;;;;;
5380;Hochschule Hildesheim/Holzminden/Göttingen (FH);;;;;;
5500;Hochschule Osnabrück (FH);;;;;;
750;Hannover, Kommunale FH für Verwaltung in Niedersachsen (Priv. Verw-FH);;;;;;
740;Norddeutsche Hochschule für Rechtspflege, Hildesheim;;;;;;
660;Jacobs University Bremen (Priv. H);;;;;;
1050;Universität Bremen;;;;;;
2610;Hochschule für Künste Bremen;;;;;;
20;APOLLON Hochschule der Gesundheitswirtschaft;;;;;;
5660;Hochschule Bremerhaven;;;;;;
5680;Hochschule Bremen;;;;;;
5670;Hochschule füröffentliche Verwaltung Bremen;;;;;;
1491;Priv. wiss. Hochschule Witten-Herdecke (ohne Klinikum);;;;;;
89;Universität Duisburg-Essen (Klinikum);;;;;;
1089;Universität Bochum (Klinikum);;;;;;
1099;Universität Bonn (Klinikum);;;;;;
1109;Universität Düsseldorf (Klinikum);;;;;;
1119;Universität Köln (Klinikum);;;;;;
1129;Universität Münster (Klinikum);;;;;;
1481;RWTH Aachen (ohne Klinikum);Fahrzeugindustrie;;Finanzierung des Instituts für Kraftfahrzeuge ika;;http://www.zdf.de/ZDFmediathek/kanaluebersicht/aktuellste/460#/beitrag/video/1878292/Gekaufte-Wissenschaft, http://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaaahgfg&download=1;http://www.taz.de/!111472/
1481;RWTH Aachen (ohne Klinikum);AachenMünchener Versicherung AG;;Hörsaalsponsoring;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Campusprojekt/~elf/RWTH_Aachen_Campus/;
1481;RWTH Aachen (ohne Klinikum);Generali;;Hörsaalsponsoring;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Campusprojekt/~elf/RWTH_Aachen_Campus/;
1481;RWTH Aachen (ohne Klinikum);Ford;;Hörsaalsponsoring;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Campusprojekt/~elf/RWTH_Aachen_Campus/;
1481;RWTH Aachen (ohne Klinikum);Aachener Kompetenzzentrum Medizintechnik AKM e.V.;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);AachenMünchener Versicherung AG;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);ABB;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);aixigo AG;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Aker Wirth GmbH;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);BET - Büro für Energiewirtschaft und technische Planung GmbH;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Bilfinger;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Brunel;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);BWG Bergwerk- und Walzwerk-Maschinenbau GmbH;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);car e.V.;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);cdwuppermann innovation + strategy CDWIS;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);CENTA Antriebe Kirschey GmbH;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);COHAUSZ & FLORACK Patent- und Rechtsanwälte;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Cologne Chip AG;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Continental;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Currenta GmbH & Co. OHG;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);DASGIP AG;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Derichs & Konertz GmbH & Co. KG;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Deutsche Post;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);DEUTZ AG;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Diehl;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);DSA - Daten- und Systemtechnik GmbH;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);DTG GmbH Development & Technology;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);E.ON;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);ENEL;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Ericsson Eurolab Deutschland GmbH;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);EUROPIPE GmbH;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Ford;;Förderer;Ford-Werke GmbH;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Fresenius Medical Care;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Generali;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Giesel Verlag GmbH;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);GKD - Gebr. Kufferath AG;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Grünenthal GmbH;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Gude Analog- und Digitalsysteme GmbH;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Haarmann Holding GmbH;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);HüBNER GmbH;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
1481;RWTH Aachen (ohne Klinikum);Hydro Aluminium Rolled Products GmbH;;Förderer;;http://www.rwth-aachen.de/cms/root/Wirtschaft/Fundraising/~bamh/Partnerschaften_Foerdernde/, ;
